"session_id","task_id","event_type","payload","timestamp","time","diff"
"test_ticket_18","test_ticket_18","WORKER_COMPLETED","{""message"": ""Support request #18"", ""component"": ""PlannerAgent""}","1781721011.6569803","1781721011262","1"
"test_ticket_26","test_ticket_26","AGENT_COMPLETED","{""message"": ""Support request #26"", ""component"": ""PlannerAgent""}","1781721011.6579647","1781721011262","1"
"test_ticket_7","test_ticket_7","tool_call","{""message"": ""Support request #7"", ""component"": ""QAAgent""}","1781721011.6559305","1781721011262","1"
"test_ticket_8","test_ticket_8","user_prompt","{""message"": ""Support request #8"", ""component"": ""PlannerAgent""}","1781721011.6560302","1781721011262","1"
"test_ticket_39","test_ticket_39","TASK_COMPLETED","{""message"": ""Support request #39"", ""component"": ""ResearchAgent""}","1781721011.6594427","1781721011262","1"
"test_ticket_2","test_ticket_2","tool_call","{""message"": ""Support request #2"", ""component"": ""QAAgent""}","1781721011.655362","1781721011262","1"
"test_ticket_20","test_ticket_20","user_prompt","{""message"": ""Support request #20"", ""component"": ""QAAgent""}","1781721011.6571617","1781721011262","1"
"test_ticket_45","test_ticket_45","RETRY_TRIGGERED","{""message"": ""Support request #45"", ""component"": ""ResearchAgent""}","1781721011.6600604","1781721011262","1"
"test_ticket_28","test_ticket_28","TASK_COMPLETED","{""message"": ""Support request #28"", ""component"": ""SummarizationAgent""}","1781721011.6581552","1781721011262","1"
"test_ticket_25","test_ticket_25","tool_call","{""message"": ""Support request #25"", ""component"": ""PlannerAgent""}","1781721011.6578698","1781721011262","1"
"test_ticket_9","test_ticket_9","RETRY_TRIGGERED","{""message"": ""Support request #9"", ""component"": ""QAAgent""}","1781721011.656124","1781721011262","1"
"test_ticket_1","test_ticket_1","WORKER_COMPLETED","{""message"": ""Support request #1"", ""component"": ""ResearchAgent""}","1781721011.6550639","1781721011262","1"
"test_ticket_49","test_ticket_49","RETRY_TRIGGERED","{""message"": ""Support request #49"", ""component"": ""ResearchAgent""}","1781721011.660453","1781721011262","1"
"test_ticket_16","test_ticket_16","WORKER_COMPLETED","{""message"": ""Support request #16"", ""component"": ""PlannerAgent""}","1781721011.6567955","1781721011262","1"
"test_ticket_27","test_ticket_27","WORKER_COMPLETED","{""message"": ""Support request #27"", ""component"": ""SummarizationAgent""}","1781721011.6580608","1781721011262","1"
"test_ticket_22","test_ticket_22","tool_call","{""message"": ""Support request #22"", ""component"": ""CriticAgent""}","1781721011.6575532","1781721011262","1"
"test_ticket_37","test_ticket_37","TASK_STARTED","{""message"": ""Support request #37"", ""component"": ""PlannerAgent""}","1781721011.659167","1781721011262","1"
"test_ticket_36","test_ticket_36","TASK_STARTED","{""message"": ""Support request #36"", ""component"": ""ResearchAgent""}","1781721011.6589544","1781721011262","1"
"test_ticket_4","test_ticket_4","tool_call","{""message"": ""Support request #4"", ""component"": ""CriticAgent""}","1781721011.655615","1781721011262","1"
"test_ticket_33","test_ticket_33","TASK_COMPLETED","{""message"": ""Support request #33"", ""component"": ""SummarizationAgent""}","1781721011.6586497","1781721011262","1"
"test_ticket_48","test_ticket_48","RETRY_TRIGGERED","{""message"": ""Support request #48"", ""component"": ""CriticAgent""}","1781721011.6603549","1781721011262","1"
"test_ticket_31","test_ticket_31","AGENT_COMPLETED","{""message"": ""Support request #31"", ""component"": ""QAAgent""}","1781721011.6584544","1781721011262","1"
"test_ticket_44","test_ticket_44","WORKER_COMPLETED","{""message"": ""Support request #44"", ""component"": ""ResearchAgent""}","1781721011.6599622","1781721011262","1"
"test_ticket_29","test_ticket_29","AGENT_COMPLETED","{""message"": ""Support request #29"", ""component"": ""ResearchAgent""}","1781721011.6582644","1781721011262","1"
"test_ticket_19","test_ticket_19","TASK_STARTED","{""message"": ""Support request #19"", ""component"": ""ResearchAgent""}","1781721011.657071","1781721011262","1"
"test_ticket_11","test_ticket_11","WORKER_COMPLETED","{""message"": ""Support request #11"", ""component"": ""SummarizationAgent""}","1781721011.6563144","1781721011262","1"
"test_ticket_47","test_ticket_47","TASK_COMPLETED","{""message"": ""Support request #47"", ""component"": ""ResearchAgent""}","1781721011.6602552","1781721011262","1"
"test_ticket_35","test_ticket_35","TASK_COMPLETED","{""message"": ""Support request #35"", ""component"": ""SummarizationAgent""}","1781721011.6588438","1781721011262","1"
"test_ticket_42","test_ticket_42","tool_call","{""message"": ""Support request #42"", ""component"": ""SummarizationAgent""}","1781721011.6597576","1781721011262","1"
"test_ticket_30","test_ticket_30","tool_call","{""message"": ""Support request #30"", ""component"": ""QAAgent""}","1781721011.6583593","1781721011262","1"
"test_ticket_40","test_ticket_40","TASK_FAILED","{""message"": ""Support request #40"", ""component"": ""SummarizationAgent""}","1781721011.6595533","1781721011262","1"
"test_ticket_3","test_ticket_3","tool_call","{""message"": ""Support request #3"", ""component"": ""ResearchAgent""}","1781721011.6554956","1781721011262","1"
"test_ticket_46","test_ticket_46","TASK_STARTED","{""message"": ""Support request #46"", ""component"": ""ResearchAgent""}","1781721011.6601577","1781721011262","1"
"test_ticket_5","test_ticket_5","TASK_FAILED","{""message"": ""Support request #5"", ""component"": ""ResearchAgent""}","1781721011.6557293","1781721011262","1"
"test_ticket_23","test_ticket_23","TASK_COMPLETED","{""message"": ""Support request #23"", ""component"": ""PlannerAgent""}","1781721011.6576686","1781721011262","1"
"test_ticket_15","test_ticket_15","WORKER_COMPLETED","{""message"": ""Support request #15"", ""component"": ""CriticAgent""}","1781721011.656695","1781721011262","1"
"test_ticket_13","test_ticket_13","TASK_COMPLETED","{""message"": ""Support request #13"", ""component"": ""PlannerAgent""}","1781721011.6565032","1781721011262","1"
"test_ticket_17","test_ticket_17","RETRY_TRIGGERED","{""message"": ""Support request #17"", ""component"": ""ResearchAgent""}","1781721011.6568866","1781721011262","1"
"test_ticket_21","test_ticket_21","TASK_FAILED","{""message"": ""Support request #21"", ""component"": ""SummarizationAgent""}","1781721011.6572664","1781721011262","1"
"test_ticket_43","test_ticket_43","TASK_FAILED","{""message"": ""Support request #43"", ""component"": ""QAAgent""}","1781721011.6598625","1781721011262","1"
"test_ticket_14","test_ticket_14","TASK_COMPLETED","{""message"": ""Support request #14"", ""component"": ""PlannerAgent""}","1781721011.6565976","1781721011262","1"
"test_ticket_0","test_ticket_0","AGENT_COMPLETED","{""message"": ""Support request #0"", ""component"": ""CriticAgent""}","1781721011.6472497","1781721011262","1"
"test_ticket_34","test_ticket_34","RETRY_TRIGGERED","{""message"": ""Support request #34"", ""component"": ""QAAgent""}","1781721011.6587489","1781721011262","1"
"test_ticket_6","test_ticket_6","AGENT_COMPLETED","{""message"": ""Support request #6"", ""component"": ""QAAgent""}","1781721011.6558344","1781721011262","1"
